,tx_price,beds,baths,sqft,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year
tx_price,1.0,0.3840455580983375,0.3893750938739516,0.4695729491201433,0.03313750957132344,0.13055756064694563,,-0.038027225923080665,-0.0943142835452105,0.009360798579224833,-0.0013977199678291829,-0.03824597047656647,-0.02107561263833426,-0.05434868373679793,-0.0011651245284837412,0.12633452973657333,0.2004938354495114,0.26857686091387434,0.5351480296878817,0.5329465729141946,0.1757617373416548,-0.014379817003322306,0.10878183460545408
beds,0.3840455580983375,1.0,0.6445722073829521,0.6910391771130269,-0.01184350870919799,0.16439854949234392,,-0.49583406078436426,-0.42141160253468496,-0.4408436797814327,-0.46428946036513546,-0.3886702354437431,-0.44216821143381807,-0.41983183229195237,-0.4869565331514092,0.13371057123644664,0.6432401574363255,-0.082354375665799,0.5476433483105638,0.4857758968470566,0.13730887232006453,-0.12435935178480184,-0.17408072069503136
baths,0.3893750938739516,0.6445722073829521,1.0,0.6820600513079768,0.20614125334419026,0.13297602449051285,,-0.3502098296198066,-0.34002377069934564,-0.3066863744099544,-0.31683631525738404,-0.25960348134119005,-0.3058850254837616,-0.2820079008366355,-0.3297358095072119,0.09584407938536202,0.44222472410587077,0.016096838833912257,0.5257756075381356,0.47543015424007884,0.16336548499628203,-0.08829863934949433,-0.13210963751734098
sqft,0.4695729491201433,0.6910391771130269,0.6820600513079768,1.0,0.25458922660843525,0.2460161437181044,,-0.35375912447784685,-0.37116749048860803,-0.2815396780496878,-0.3009689911865985,-0.27558586248194716,-0.2934016819647186,-0.31046548407504526,-0.33266303012908055,0.10981074142324425,0.48016663589619485,0.06534303757616412,0.6602644669152881,0.5940486561461019,0.22066892056949516,-0.10203182848264165,-0.2361897558962653
year_built,0.03313750957132344,-0.01184350870919799,0.20614125334419026,0.25458922660843525,1.0,6.791446141967825e-05,,-0.10694842886015696,-0.2224427851734351,-0.08000598656136301,-0.10220858678520645,-0.1216844590245006,-0.19514076257457644,-0.16367016877163532,-0.13491851559306964,-0.23715248010242743,0.038208264918639746,-0.01420438745703263,-0.04650385321847385,-0.10952097234157213,0.1558351705954282,-0.1881064465939705,-0.04330059370504046
lot_size,0.13055756064694563,0.16439854949234392,0.13297602449051285,0.2460161437181044,6.791446141967825e-05,1.0,,-0.1138871749493385,-0.11857358109984123,-0.07222366181223497,-0.09818177436745401,-0.11655974519716461,-0.0671888437467292,-0.12107481653334182,-0.09266781415440956,0.09913955868981386,0.12202807840786821,-0.030724854053555364,0.1658000456782764,0.14657929583569815,0.09655089080854394,-0.03153505268761428,-0.04820684066431339
basement,,,,,,,,,,,,,,,,,,,,,,,
restaurants,-0.038027225923080665,-0.49583406078436426,-0.3502098296198066,-0.35375912447784685,-0.10694842886015696,-0.1138871749493385,,1.0,0.7014621126696269,0.9266746117020938,0.9376164426889014,0.8188152162658116,0.726906707443987,0.8678293176527223,0.881798602082277,-0.06381588011003256,-0.6155840055358707,0.21425951466013513,-0.10082147395510245,-0.019925269131433773,-0.0684247952015966,0.2511707983305043,0.04473925800856172
groceries,-0.0943142835452105,-0.42141160253468496,-0.34002377069934564,-0.37116749048860803,-0.2224427851734351,-0.11857358109984123,,0.7014621126696269,1.0,0.5650031225989145,0.6028567680967956,0.5263561365896223,0.5028366831066362,0.6268501969665794,0.5745315044439134,-0.022376677466506126,-0.5087926830592182,-0.0060249249744540575,-0.15950568936082263,-0.0939743513547624,-0.3545525584194953,0.2728559587222027,0.11567365160951856
nightlife,0.009360798579224833,-0.4408436797814327,-0.3066863744099544,-0.2815396780496878,-0.08000598656136301,-0.07222366181223497,,0.9266746117020938,0.5650031225989145,1.0,0.9239013790053117,0.7433214678892711,0.7030379343835563,0.7774614401421007,0.8588358465542869,-0.028611181451470378,-0.5688110777749482,0.253716866721328,-0.054386305087745175,0.02455050797820751,-0.03694805347066255,0.1963985239071378,0.02749482833641349
